,user_id,experiment_id,variant,exposure_time
0,4772,0,A,2025-01-02 01:12:51
1,6597,0,A,2025-01-10 21:19:04
2,5833,0,A,2025-01-09 05:36:59
3,1117,0,A,2025-01-07 21:22:17
4,1307,0,A,2025-01-03 18:56:33
5,4281,0,A,2025-01-04 19:56:26
6,4434,0,A,2025-01-02 12:55:00
7,2991,0,A,2025-01-01 17:58:39
8,1195,0,A,2025-01-07 12:38:38
9,6053,0,A,2025-01-11 10:28:06
10,1628,0,A,2025-01-13 14:00:52
11,3724,0,A,2025-01-09 22:47:39
12,2347,0,A,2025-01-13 09:15:43
13,1952,0,A,2025-01-01 10:39:17
14,4983,0,A,2025-01-05 17:57:05
15,7269,0,A,2025-01-09 23:40:23
16,4898,0,A,2025-01-01 14:37:00
17,3153,0,A,2025-01-01 23:41:56
18,6714,0,A,2025-01-08 13:31:19
19,2546,0,A,2025-01-07 07:59:22
20,4023,0,A,2025-01-05 12:15:41
21,7798,0,A,2025-01-02 12:17:50
22,2700,0,A,2025-01-01 19:19:42
23,1055,0,A,2025-01-10 14:28:31
24,810,0,A,2025-01-08 11:17:41
25,28,0,A,2025-01-08 13:16:12
26,5966,0,A,2025-01-11 17:10:32
27,7171,0,A,2025-01-06 04:57:35
28,2149,0,A,2025-01-14 22:24:53
29,493,0,A,2025-01-04 11:08:12
30,4174,0,A,2025-01-14 08:18:02
31,2352,0,A,2025-01-01 08:30:40
32,3770,0,A,2025-01-06 04:14:33
33,4231,0,A,2025-01-03 06:50:05
34,3922,0,A,2025-01-07 17:48:08
35,3351,0,A,2025-01-14 20:00:53
36,5601,0,A,2025-01-07 14:42:10
37,4189,0,A,2025-01-10 03:42:28
38,70,0,A,2025-01-03 09:26:25
39,1864,0,A,2025-01-04 05:56:20
40,1969,0,A,2025-01-09 07:07:21
41,7811,0,A,2025-01-06 14:01:39
42,6965,0,A,2025-01-02 16:33:57
43,3340,0,A,2025-01-01 11:12:01
44,4345,0,A,2025-01-03 05:35:43
45,2745,0,A,2025-01-11 20:02:50
46,4000,0,A,2025-01-07 05:26:51
47,7979,0,A,2025-01-01 14:35:29
48,4824,0,A,2025-01-06 01:41:18
49,1596,0,A,2025-01-05 17:11:52
50,5763,0,A,2025-01-02 09:01:08
51,7687,0,A,2025-01-14 19:46:17
52,1883,0,A,2025-01-12 06:56:35
53,6562,0,A,2025-01-12 15:22:42
54,347,0,A,2025-01-05 15:34:46
55,3345,0,A,2025-01-13 04:13:37
56,7463,0,A,2025-01-06 11:56:56
57,5838,0,A,2025-01-04 16:35:07
58,6388,0,A,2025-01-03 19:31:50
59,1667,0,A,2025-01-02 16:19:40
60,886,0,A,2025-01-12 08:34:07
61,2605,0,A,2025-01-04 10:24:37
62,3218,0,A,2025-01-13 09:22:34
63,1845,0,A,2025-01-02 00:12:32
64,7665,0,A,2025-01-07 22:26:08
65,2094,0,A,2025-01-10 21:15:37
66,2950,0,A,2025-01-11 00:53:28
67,4785,0,A,2025-01-13 01:05:12
68,2724,0,A,2025-01-06 08:11:33
69,2802,0,A,2025-01-04 21:21:33
70,5296,0,A,2025-01-12 12:36:29
71,5959,0,A,2025-01-14 22:36:57
72,6402,0,A,2025-01-04 18:34:21
73,2786,0,A,2025-01-09 02:45:04
74,2410,0,A,2025-01-10 02:55:26
75,6483,0,A,2025-01-08 10:04:36
76,4514,0,A,2025-01-04 20:31:11
77,7518,0,A,2025-01-10 18:17:36
78,2603,0,A,2025-01-11 00:24:44
79,2097,0,A,2025-01-13 04:25:33
80,799,0,A,2025-01-14 18:17:20
81,457,0,A,2025-01-05 08:35:26
82,2113,0,A,2025-01-09 21:32:29
83,2409,0,A,2025-01-03 19:30:31
84,2255,0,A,2025-01-06 18:01:57
85,1200,0,A,2025-01-05 07:29:40
86,4155,0,A,2025-01-01 08:17:27
87,6088,0,A,2025-01-11 06:50:55
88,752,0,A,2025-01-11 15:13:13
89,4921,0,A,2025-01-02 00:28:36
90,7932,0,A,2025-01-13 23:22:51
91,6417,0,A,2025-01-09 15:10:21
92,7827,0,A,2025-01-03 14:47:16
93,1670,0,A,2025-01-13 11:05:52
94,7544,0,A,2025-01-14 01:55:43
95,2948,0,A,2025-01-05 15:10:25
96,4027,0,A,2025-01-01 11:10:45
97,5087,0,A,2025-01-08 04:41:16
98,1544,0,A,2025-01-06 00:06:30
99,790,0,A,2025-01-14 05:26:25
100,4896,0,A,2025-01-09 11:46:35
101,3569,0,A,2025-01-12 03:27:35
102,5782,0,A,2025-01-09 15:18:19
103,3484,0,A,2025-01-13 04:20:04
104,4816,0,A,2025-01-08 12:04:03
105,5572,0,A,2025-01-10 04:32:56
106,3513,0,A,2025-01-04 10:42:00
107,473,0,A,2025-01-13 17:32:15
108,370,0,A,2025-01-01 05:42:49
109,912,0,A,2025-01-10 07:18:58
110,7603,0,A,2025-01-05 01:01:52
111,4138,0,A,2025-01-14 17:00:22
112,1351,0,A,2025-01-06 23:26:52
113,6634,0,A,2025-01-08 13:12:14
114,3697,0,A,2025-01-12 02:38:30
115,11,0,A,2025-01-11 12:43:58
116,2678,0,A,2025-01-01 09:51:09
117,5688,0,A,2025-01-02 01:41:58
118,6019,0,A,2025-01-12 17:24:10
119,1239,0,A,2025-01-09 07:13:53
120,7404,0,A,2025-01-11 15:41:42
121,7251,0,A,2025-01-09 20:06:37
122,2985,0,A,2025-01-06 21:04:33
123,6007,0,A,2025-01-06 23:12:46
124,3754,0,A,2025-01-05 11:50:12
125,4636,0,A,2025-01-13 02:12:44
126,3354,0,A,2025-01-11 04:45:42
127,6446,0,A,2025-01-13 03:57:24
128,6471,0,A,2025-01-02 07:25:15
129,1229,0,A,2025-01-03 17:15:19
