,user_id,event_name,event_time,event_value
0,4772,session_start,2025-01-03 01:12:51,
1,4772,scroll,2025-01-03 01:12:51,
2,4772,scroll,2025-01-02 01:12:51,
3,4772,scroll,2025-01-02 01:12:51,
4,4772,scroll,2025-01-03 01:12:51,
5,4772,scroll,2025-01-02 01:12:51,
6,4772,scroll,2025-01-02 01:12:51,
7,6597,session_start,2025-01-11 21:19:04,
8,6597,scroll,2025-01-11 21:19:04,
9,6597,scroll,2025-01-10 21:19:04,
10,6597,scroll,2025-01-11 21:19:04,
11,5833,session_start,2025-01-09 05:36:59,
12,5833,session_start,2025-01-10 05:36:59,
13,5833,session_start,2025-01-09 05:36:59,
14,5833,session_start,2025-01-09 05:36:59,
15,5833,scroll,2025-01-10 05:36:59,
16,5833,scroll,2025-01-09 05:36:59,
17,1117,session_start,2025-01-08 21:22:17,
18,1117,session_start,2025-01-07 21:22:17,
19,1117,session_start,2025-01-07 21:22:17,
20,1117,session_start,2025-01-07 21:22:17,
21,1117,session_start,2025-01-07 21:22:17,
22,1117,session_start,2025-01-07 21:22:17,
23,1117,scroll,2025-01-08 21:22:17,
24,1117,scroll,2025-01-08 21:22:17,
25,1117,scroll,2025-01-07 21:22:17,
26,1307,session_start,2025-01-03 18:56:33,
27,1307,scroll,2025-01-04 18:56:33,
28,1307,scroll,2025-01-03 18:56:33,
29,1307,scroll,2025-01-04 18:56:33,
30,1307,scroll,2025-01-03 18:56:33,
31,1307,scroll,2025-01-04 18:56:33,
32,1307,scroll,2025-01-03 18:56:33,
33,4281,scroll,2025-01-04 19:56:26,
34,4281,scroll,2025-01-05 19:56:26,
35,4281,scroll,2025-01-04 19:56:26,
36,4434,session_start,2025-01-02 12:55:00,
37,4434,scroll,2025-01-03 12:55:00,
38,4434,scroll,2025-01-03 12:55:00,
39,2991,session_start,2025-01-01 17:58:39,
40,2991,session_start,2025-01-02 17:58:39,
41,2991,scroll,2025-01-02 17:58:39,
42,2991,scroll,2025-01-02 17:58:39,
43,1195,scroll,2025-01-08 12:38:38,
44,1195,scroll,2025-01-08 12:38:38,
45,1195,scroll,2025-01-08 12:38:38,
46,1195,scroll,2025-01-07 12:38:38,
47,1195,scroll,2025-01-08 12:38:38,
48,1195,scroll,2025-01-07 12:38:38,
49,6053,session_start,2025-01-11 10:28:06,
50,6053,session_start,2025-01-11 10:28:06,
51,6053,scroll,2025-01-11 10:28:06,
52,6053,scroll,2025-01-11 10:28:06,
53,6053,scroll,2025-01-12 10:28:06,
54,6053,scroll,2025-01-11 10:28:06,
55,1628,session_start,2025-01-13 14:00:52,
56,1628,session_start,2025-01-14 14:00:52,
57,1628,session_start,2025-01-13 14:00:52,
58,1628,session_start,2025-01-14 14:00:52,
59,1628,scroll,2025-01-14 14:00:52,
60,1628,scroll,2025-01-13 14:00:52,
61,1628,scroll,2025-01-13 14:00:52,
62,3724,scroll,2025-01-09 22:47:39,
63,3724,scroll,2025-01-10 22:47:39,
64,3724,scroll,2025-01-09 22:47:39,
65,3724,scroll,2025-01-10 22:47:39,
66,2347,session_start,2025-01-14 09:15:43,
67,2347,scroll,2025-01-13 09:15:43,
68,2347,scroll,2025-01-14 09:15:43,
69,2347,scroll,2025-01-13 09:15:43,
70,2347,scroll,2025-01-13 09:15:43,
71,1952,session_start,2025-01-02 10:39:17,
72,1952,session_start,2025-01-01 10:39:17,
73,1952,session_start,2025-01-01 10:39:17,
74,1952,scroll,2025-01-02 10:39:17,
75,1952,scroll,2025-01-02 10:39:17,
76,1952,scroll,2025-01-01 10:39:17,
77,1952,scroll,2025-01-02 10:39:17,
78,1952,scroll,2025-01-01 10:39:17,
79,4983,session_start,2025-01-06 17:57:05,
80,4983,session_start,2025-01-05 17:57:05,
81,4983,session_start,2025-01-06 17:57:05,
82,4983,scroll,2025-01-05 17:57:05,
83,4983,scroll,2025-01-06 17:57:05,
84,4983,scroll,2025-01-06 17:57:05,
85,4983,scroll,2025-01-06 17:57:05,
86,7269,scroll,2025-01-09 23:40:23,
87,7269,scroll,2025-01-09 23:40:23,
88,7269,scroll,2025-01-09 23:40:23,
89,4898,scroll,2025-01-02 14:37:00,
90,4898,scroll,2025-01-02 14:37:00,
91,4898,scroll,2025-01-01 14:37:00,
92,3153,session_start,2025-01-02 23:41:56,
93,3153,scroll,2025-01-02 23:41:56,
94,6714,session_start,2025-01-08 13:31:19,
95,6714,session_start,2025-01-09 13:31:19,
96,6714,session_start,2025-01-09 13:31:19,
97,6714,session_start,2025-01-08 13:31:19,
98,6714,session_start,2025-01-08 13:31:19,
99,6714,scroll,2025-01-08 13:31:19,
100,2546,session_start,2025-01-08 07:59:22,
101,2546,session_start,2025-01-08 07:59:22,
102,2546,scroll,2025-01-08 07:59:22,
103,4023,session_start,2025-01-06 12:15:41,
104,4023,session_start,2025-01-05 12:15:41,
105,4023,scroll,2025-01-06 12:15:41,
106,4023,scroll,2025-01-06 12:15:41,
107,4023,scroll,2025-01-05 12:15:41,
108,4023,scroll,2025-01-05 12:15:41,
109,7798,session_start,2025-01-02 12:17:50,
110,7798,session_start,2025-01-03 12:17:50,
111,7798,session_start,2025-01-02 12:17:50,
112,7798,session_start,2025-01-03 12:17:50,
113,7798,session_start,2025-01-03 12:17:50,
114,7798,scroll,2025-01-02 12:17:50,
115,7798,scroll,2025-01-03 12:17:50,
116,7798,scroll,2025-01-02 12:17:50,
117,2700,session_start,2025-01-02 19:19:42,
118,2700,purchase,2025-01-02 19:19:42,44.78323365534401
119,2700,scroll,2025-01-02 19:19:42,
120,2700,scroll,2025-01-02 19:19:42,
121,1055,session_start,2025-01-10 14:28:31,
122,1055,session_start,2025-01-11 14:28:31,
123,1055,scroll,2025-01-11 14:28:31,
124,1055,scroll,2025-01-10 14:28:31,
125,1055,scroll,2025-01-10 14:28:31,
126,1055,scroll,2025-01-10 14:28:31,
127,810,session_start,2025-01-09 11:17:41,
128,810,session_start,2025-01-09 11:17:41,
129,810,session_start,2025-01-08 11:17:41,
130,810,scroll,2025-01-09 11:17:41,
131,28,session_start,2025-01-08 13:16:12,
132,28,scroll,2025-01-09 13:16:12,
133,28,scroll,2025-01-08 13:16:12,
134,28,scroll,2025-01-09 13:16:12,
135,5966,session_start,2025-01-12 17:10:32,
136,5966,session_start,2025-01-12 17:10:32,
137,5966,scroll,2025-01-12 17:10:32,
138,5966,scroll,2025-01-11 17:10:32,
139,5966,scroll,2025-01-12 17:10:32,
140,7171,session_start,2025-01-07 04:57:35,
141,7171,session_start,2025-01-07 04:57:35,
142,7171,scroll,2025-01-07 04:57:35,
143,7171,scroll,2025-01-06 04:57:35,
144,2149,session_start,2025-01-14 22:24:53,
145,2149,session_start,2025-01-14 22:24:53,
146,2149,session_start,2025-01-15 22:24:53,
147,2149,scroll,2025-01-14 22:24:53,
148,2149,scroll,2025-01-14 22:24:53,
149,493,session_start,2025-01-05 11:08:12,
150,493,scroll,2025-01-05 11:08:12,
151,493,scroll,2025-01-04 11:08:12,
152,493,scroll,2025-01-05 11:08:12,
153,4174,session_start,2025-01-15 08:18:02,
154,4174,scroll,2025-01-15 08:18:02,
155,2352,session_start,2025-01-02 08:30:40,
156,2352,session_start,2025-01-02 08:30:40,
157,2352,scroll,2025-01-02 08:30:40,
158,2352,scroll,2025-01-01 08:30:40,
159,3770,session_start,2025-01-06 04:14:33,
160,3770,session_start,2025-01-06 04:14:33,
161,3770,session_start,2025-01-06 04:14:33,
162,3770,scroll,2025-01-07 04:14:33,
163,3770,scroll,2025-01-07 04:14:33,
164,3770,scroll,2025-01-07 04:14:33,
165,4231,scroll,2025-01-04 06:50:05,
166,4231,scroll,2025-01-03 06:50:05,
167,3922,session_start,2025-01-07 17:48:08,
168,3922,session_start,2025-01-08 17:48:08,
169,3922,scroll,2025-01-08 17:48:08,
170,3922,scroll,2025-01-07 17:48:08,
171,3351,session_start,2025-01-14 20:00:53,
172,3351,session_start,2025-01-14 20:00:53,
173,3351,session_start,2025-01-14 20:00:53,
174,3351,scroll,2025-01-15 20:00:53,
175,3351,scroll,2025-01-14 20:00:53,
176,3351,scroll,2025-01-14 20:00:53,
177,5601,session_start,2025-01-08 14:42:10,
178,5601,session_start,2025-01-07 14:42:10,
179,5601,session_start,2025-01-08 14:42:10,
180,5601,scroll,2025-01-08 14:42:10,
181,5601,scroll,2025-01-07 14:42:10,
182,4189,session_start,2025-01-10 03:42:28,
183,4189,session_start,2025-01-11 03:42:28,
184,4189,session_start,2025-01-11 03:42:28,
