,user_id,device,country
0,0,android,Germany
1,1,ios,Netherlands
2,2,web,China
3,3,android,Italy
4,4,ios,Australia
5,5,web,China
6,6,web,Argentina
7,7,web,Germany
8,8,ios,Italy
9,9,android,Brazil
10,10,android,India
11,11,web,India
12,12,android,Brazil
13,13,android,Netherlands
14,14,android,Japan
15,15,android,Indonesia
16,16,web,Canada
17,17,web,Australia
18,18,android,France
19,19,web,Russia
20,20,android,Netherlands
21,21,ios,Netherlands
22,22,web,China
23,23,web,Argentina
24,24,android,Japan
25,25,android,Italy
26,26,android,UK
27,27,web,Argentina
28,28,ios,Netherlands
29,29,web,Italy
30,30,web,India
31,31,web,Japan
32,32,web,Argentina
33,33,ios,France
34,34,ios,Russia
35,35,android,Netherlands
36,36,web,USA
37,37,android,South Korea
38,38,ios,China
39,39,web,France
40,40,android,South Korea
41,41,ios,UK
42,42,ios,India
43,43,ios,Brazil
44,44,android,UK
45,45,android,China
46,46,web,Indonesia
47,47,web,Japan
48,48,web,Brazil
49,49,web,Japan
50,50,web,Italy
51,51,android,Canada
52,52,web,Argentina
53,53,web,Russia
54,54,web,USA
55,55,android,USA
56,56,android,Australia
57,57,ios,France
58,58,ios,Germany
59,59,web,China
60,60,web,France
61,61,web,China
62,62,web,India
63,63,web,China
64,64,ios,Netherlands
65,65,android,Indonesia
66,66,android,UK
67,67,android,Japan
68,68,android,Brazil
69,69,android,Russia
70,70,android,UK
71,71,android,UK
72,72,android,Canada
73,73,android,Brazil
74,74,web,China
75,75,ios,USA
76,76,web,UK
77,77,android,USA
78,78,android,Netherlands
79,79,web,Netherlands
80,80,web,Canada
81,81,android,Australia
82,82,web,Brazil
83,83,android,Australia
84,84,web,Japan
85,85,android,South Korea
86,86,android,France
87,87,ios,China
88,88,android,Canada
89,89,ios,Netherlands
90,90,web,Netherlands
91,91,android,Argentina
92,92,web,South Korea
93,93,android,Argentina
94,94,ios,China
95,95,ios,Germany
96,96,android,Germany
97,97,web,UK
98,98,web,Japan
99,99,web,UK
100,100,android,Australia
101,101,android,Canada
102,102,android,South Korea
103,103,android,Netherlands
104,104,web,France
105,105,web,Germany
106,106,ios,USA
107,107,web,South Korea
108,108,web,France
109,109,web,Germany
110,110,web,Canada
111,111,web,Argentina
112,112,web,Netherlands
113,113,android,Brazil
114,114,web,Japan
115,115,web,Australia
116,116,android,Japan
117,117,ios,Australia
118,118,web,UK
119,119,web,Canada
120,120,web,USA
121,121,ios,Russia
122,122,web,Australia
123,123,web,Germany
124,124,ios,Germany
125,125,web,Germany
126,126,android,Australia
127,127,android,Germany
128,128,web,Brazil
129,129,web,Japan
130,130,web,Brazil
131,131,android,Italy
132,132,web,Italy
133,133,android,USA
134,134,android,South Korea
135,135,android,Italy
136,136,ios,China
137,137,web,France
138,138,android,USA
139,139,android,Netherlands
140,140,android,Russia
141,141,android,India
142,142,android,Italy
143,143,android,USA
144,144,web,Russia
145,145,web,Netherlands
146,146,android,Brazil
147,147,web,Russia
148,148,web,China
149,149,android,USA
150,150,android,France
151,151,android,Brazil
152,152,android,Brazil
153,153,android,Netherlands
154,154,web,Argentina
155,155,android,Germany
156,156,android,South Korea
157,157,ios,Russia
158,158,web,Germany
159,159,web,China
160,160,web,India
161,161,ios,Netherlands
162,162,ios,France
163,163,android,Japan
164,164,android,South Korea
165,165,web,Canada
166,166,web,South Korea
167,167,web,China
168,168,ios,Germany
169,169,android,Canada
170,170,android,South Korea
171,171,android,Germany
172,172,android,Argentina
173,173,web,Japan
174,174,android,Russia
175,175,android,Argentina
176,176,android,Italy
177,177,android,Italy
178,178,android,France
179,179,android,Russia
180,180,android,Russia
181,181,ios,Australia
182,182,ios,Argentina
183,183,android,India
184,184,web,South Korea
185,185,android,Canada
186,186,android,Indonesia
187,187,web,UK
188,188,ios,Germany
189,189,web,UK
190,190,web,USA
191,191,web,Argentina
192,192,android,UK
193,193,android,Canada
194,194,web,Australia
195,195,web,Germany
196,196,android,UK
197,197,android,Russia
198,198,ios,Australia
199,199,android,India
200,200,android,Japan
201,201,android,Canada
202,202,ios,Canada
203,203,web,USA
204,204,web,Argentina
205,205,android,France
206,206,android,Netherlands
207,207,android,Germany
208,208,web,Argentina
209,209,web,Italy
210,210,android,Japan
211,211,android,Australia
212,212,web,Canada
213,213,ios,Russia
214,214,web,Brazil
215,215,ios,Netherlands
216,216,android,Indonesia
217,217,ios,South Korea
218,218,ios,Russia
219,219,android,Brazil
220,220,android,Italy
221,221,web,France
222,222,ios,Russia
223,223,ios,USA
224,224,android,Indonesia
225,225,web,Australia
226,226,android,South Korea
227,227,web,China
228,228,android,Argentina
229,229,android,Italy
230,230,web,Germany
231,231,web,Australia
232,232,web,Japan
233,233,ios,India
234,234,web,UK
235,235,web,Netherlands
236,236,ios,India
237,237,android,Netherlands
238,238,web,Netherlands
239,239,web,China
240,240,android,Italy
241,241,android,Brazil
242,242,web,Netherlands
243,243,android,India
244,244,web,India
245,245,android,Australia
246,246,web,USA
247,247,android,Netherlands
248,248,web,China
249,249,android,Canada
250,250,android,Brazil
251,251,android,Australia
252,252,android,Australia
253,253,android,UK
254,254,android,Germany
255,255,ios,Australia
256,256,web,India
257,257,android,Canada
258,258,web,UK
259,259,web,China
260,260,web,France
261,261,android,Netherlands
262,262,android,Australia
263,263,android,China
264,264,android,Japan
265,265,android,Canada
266,266,web,Australia
267,267,web,Argentina
268,268,android,Russia
269,269,android,Italy
270,270,web,China
271,271,web,Italy
272,272,android,Russia
273,273,android,Australia
274,274,web,Brazil
275,275,web,India
276,276,ios,Canada
277,277,android,Netherlands
278,278,web,South Korea
279,279,android,UK
280,280,android,USA
281,281,android,India
282,282,ios,India
283,283,ios,Australia
284,284,android,Australia
285,285,web,USA
286,286,web,Argentina
287,287,android,Indonesia
288,288,android,South Korea
289,289,ios,South Korea
290,290,ios,Australia
291,291,web,South Korea
292,292,ios,Canada
293,293,android,USA
294,294,web,UK
295,295,web,Brazil
296,296,android,Netherlands
297,297,ios,South Korea
298,298,ios,UK
299,299,android,Australia
300,300,android,Netherlands
301,301,android,UK
302,302,android,Germany
303,303,android,China
304,304,ios,Canada
305,305,android,Japan
306,306,android,Netherlands
307,307,web,Brazil
308,308,android,Japan
309,309,web,Japan
310,310,ios,India
311,311,ios,Brazil
312,312,web,Russia
313,313,ios,Argentina
314,314,web,UK
315,315,android,Germany
316,316,android,Japan
317,317,ios,Japan
318,318,web,Japan
319,319,web,USA
320,320,android,Canada
321,321,android,Germany
322,322,android,Netherlands
323,323,android,UK
324,324,android,France
325,325,ios,Argentina
